code,name_ua,name_en
ministry,Міністерство,Ministry
administration,Адміністрація,Administration
centralBody,Центральний орган виконавчої влади,Central Body
localBody,Орган місцевого самоврядування,Local Body
enterprise,Підприємство,Enterprise
