code,name_ua,name_en
rehabilitation,Реконструкція/Модернізація/Ремонт,Rehabilitation
construction,Нове будівництво,Construction
equipment,Постачання товарів та послуг,Equipment
replacement,Реконструкція/Модернізація/Ремонт,Rehabilitation
expansion,Реконструкція/Модернізація/Ремонт,Rehabilitation
